ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
B/GR;61;C1;3;48;2;15/08/2022;SGG;717;0.2907679;732.17;1;12/08/2022;6;JAP;3.1;2.7;2.8;2.6;57.5;56.9;56.1;56.0;47.2;49.2;47.5;47.0;2;2;2;4;0;0;0;0;0;1;A
BR/G;62;C1;3;36;4;15/08/2022;MG;4620;0.2532355;1316.68;1;12/08/2022;4;JAP;3.1;3.1;3.0;2.9;56.2;56.5;58.8;57.0;45.1;48.4;47.7;47.3;2;13;1;14;0;0;0;0;0;0;A
GB/R;64;C1;3;6;1;16/08/2022;JAP;2;0.2246345;933.04;1;13/08/2022;701;SGG;3.1;2.9;2.9;2.9;58.2;59.5;57.0;57.0;48.9;50.4;45.5;46.6;8;10;1;11;0;0;0;0;0;0;A
O/BO;63;C1;3;218;1;16/08/2022;JAP;1;0.3333333;603.11;4;13/08/2022;4609;MG;2.8;2.9;2.9;2.9;57.3;59.5;57.1;57.1;46.5;47.9;46.2;46.7;4;12;2;14;0;0;0;0;0;0;A
RG/B;66;C1;3;92;2;17/08/2022;JAP;7;0.2716325;530.21;1;14/08/2022;5;SGG;2.5;1.8;2.1;2.2;51.7;53.0;51.6;52.4;44.0;44.3;44.1;43.1;0;0;0;0;0;2;0;0;0;1;A
RG/R;65;C1;3;162;2;17/08/2022;JAP;5;0.3509524;478.26;2;14/08/2022;708;SGG;2.2;1.8;1.9;1.9;52.2;51.7;50.9;50.9;42.5;43.1;41.4;39.9;4;8;3;11;0;0;0;0;0;1;A
B/GG;71;C2;3;211;4;17/08/2022;MG;4633;0.3004505;827.99;4;14/08/2022;4614;MG;2.0;1.9;2.0;2.1;50.5;51.5;50.1;52.3;41.4;40.5;41.7;41.3;0;2;2;4;0;2;0;1;0;0;A
G/BB;68;C2;3;37;1;15/08/2022;SGG;6;0.3775046;1295.89;4;12/08/2022;4603;MG;2.3;1.8;1.9;1.9;51.3;52.0;51.8;52.1;43.2;42.1;42.6;43.2;4;4;2;6;0;0;0;0;0;1;A
G/RG;67;C2;3;10;1;15/08/2022;SGG;5;0.3481481;631.96;4;12/08/2022;4602;MG;2.0;1.8;1.5;1.6;47.4;47.5;49.3;50.2;44.4;41.6;41.8;41.8;19;19;8;27;0;3;0;0;0;0;A
GG/B;72;C2;3;96;1;17/08/2022;JAP;766;0.3319209;594.21;4;14/08/2022;4615;MG;1.8;1.8;1.8;1.8;48.3;51.4;50.0;50.6;41.1;43.0;40.9;41.1;0;1;0;1;0;2;0;0;0;0;A
GR/B;69;C2;3;16;3;16/08/2022;MG;1111;0.3247674;896.52;4;13/08/2022;4607;MG;1.9;1.5;1.8;1.9;50.1;52.6;49.0;49.6;41.7;43.1;41.5;40.5;1;2;1;3;0;1;0;0;0;0;A
R/BB;70;C2;3;18;2;16/08/2022;JAP;723;0.2541412;1177.68;3;13/08/2022;1092;MG;2.2;2.0;2.1;2.1;54.9;53.3;52.1;51.8;45.1;42.8;41.3;42.7;0;4;1;5;0;3;0;0;0;1;A
B/GR;61;C1;4;16;1;23/08/2022;MG;4770;0.4305274;730.81;3;18/08/2022;774;MG;3.1;2.7;2.8;2.6;57.5;56.9;56.1;56.0;47.2;49.2;47.5;47.0;2;2;2;4;0;0;0;0;0;1;A
BR/G;62;C1;4;94;3;23/08/2022;VM;812;0.3344262;934.0;2;18/08/2022;1123;MG;3.1;3.1;3.0;2.9;56.2;56.5;58.8;57.0;45.1;48.4;47.7;47.3;2;13;1;14;0;0;0;0;0;0;A
GB/R;64;C1;4;82;1;24/08/2022;MG;4776;0.3051002;822.17;2;19/08/2022;1129;MG;3.1;2.9;2.9;2.9;58.2;59.5;57.0;57.0;48.9;50.4;45.5;46.6;8;10;1;11;0;0;0;0;0;0;A
O/BO;63;C1;4;21;2;24/08/2022;MG;6;0.4018735;849.38;3;19/08/2022;778;MG;2.8;2.9;2.9;2.9;57.3;59.5;57.1;57.1;46.5;47.9;46.2;46.7;4;12;2;14;0;0;0;0;0;0;A
RG/B;66;C1;4;21;2;25/08/2022;MG;839;0.3919048;756.73;4;22/08/2022;4651;VM;2.5;1.8;2.1;2.2;51.7;53.0;51.6;52.4;44.0;44.3;44.1;43.1;0;0;0;0;0;2;0;0;0;1;A
RG/R;65;C1;4;20;3;25/08/2022;VM;4676;0.376177;529.28;4;22/08/2022;4650;VM;2.2;1.8;1.9;1.9;52.2;51.7;50.9;50.9;42.5;43.1;41.4;39.9;4;8;3;11;0;0;0;0;0;1;A
B/GG;71;C2;4;66;3;25/08/2022;VM;4677;0.3510929;726.84;1;22/08/2022;7;MG;2.0;1.9;2.0;2.1;50.5;51.5;50.1;52.3;41.4;40.5;41.7;41.3;0;2;2;4;0;2;0;1;0;0;A
G/BB;68;C2;4;21;4;23/08/2022;VM;4656;0.3984157;588.33;1;18/08/2022;3;MG;2.3;1.8;1.9;1.9;51.3;52.0;51.8;52.1;43.2;42.1;42.6;43.2;4;4;2;6;0;0;0;0;0;1;A
G/RG;67;C2;4;7;2;23/08/2022;MG;5;0.3912037;723.71;2;18/08/2022;1122;MG;2.0;1.8;1.5;1.6;47.4;47.5;49.3;50.2;44.4;41.6;41.8;41.8;19;19;8;27;0;3;0;0;0;0;A
GG/B;72;C2;4;107;3;25/08/2022;VM;4678;0.4256121;667.88;1;22/08/2022;8;MG;1.8;1.8;1.8;1.8;48.3;51.4;50.0;50.6;41.1;43.0;40.9;41.1;0;1;0;1;0;2;0;0;0;0;A
GR/B;69;C2;4;23;2;24/08/2022;MG;5;0.3375706;671.79;1;19/08/2022;5;MG;1.9;1.5;1.8;1.9;50.1;52.6;49.0;49.6;41.7;43.1;41.5;40.5;1;2;1;3;0;1;0;0;0;0;A
R/BB;70;C2;4;66;2;24/08/2022;MG;4;0.4023419;933.0;2;19/08/2022;1128;MG;2.2;2.0;2.1;2.1;54.9;53.3;52.1;51.8;45.1;42.8;41.3;42.7;0;4;1;5;0;3;0;0;0;1;A
