"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","parasite_load","adj_mass3","adj_mass4","dens_tot","dens_bs","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"BB/R",3,"1",1,117,4,"28/06/2022","MG",516,0.4427516,1249.99,2,"22/06/2022",565,"JAP",1.9,1.9,2.4,2.3,51.1,50.9,53.3,52.5,41.9,40.9,43.6,44.6,4,8,6,14,3,0,2,0,0,0,"C",3,17,2.391,2.291,15.3094718463553,6.11086861632475,1.3094718463553,0.0258292343131481,0.0277704985779385,0.0288482922004063,0.0258238216153976,0.154439091563892,1.1903184839307,"BB/R",1.1903184839307,0.154439091563892,2.35306265920752,"4","2","BB/R"
"BG/B",5,"1",1,583,4,"29/06/2022","MG",521,0.2995614,1155.1,4,"23/06/2022",4504,"MG",2.7,2.5,3.1,2.7,56.1,57.5,58,56.8,43.2,45.6,46.7,47,0,1,2,3,7,3,0,0,0,1,"C",10,10,3.07,2.67,5.62172284644195,1.12359550561798,2.62172284644195,0.0334897976680384,0.0263660748516413,0.0301430874688676,0.0257168450150737,1.84155111307887,0.980929994393266,"BG/B",0.980929994393266,1.84155111307887,0.286152327503921,"4","4","BG/B"
"BR/B",4,"1",1,27,2,"29/06/2022","JAP",583,0.2404372,1529.6,1,"23/06/2022",4588,"JAP",2.6,2.8,2.5,2.3,52.1,54.8,54.6,54.9,41.6,44.8,44.9,44.2,0,8,2,10,12,6,0,0,0,1,"C",18,22,2.446,2.246,15.3428317008014,4.45235975066785,5.34283170080142,0.0361154770710059,0.0311403858418367,0.0270219962695283,0.026010155216933,-1.38594352605312,1.72572236560926,"BR/B",1.72572236560926,-1.38594352605312,-0.56728889845784,"2","1","BR/B"
"BR/R",1,"1",1,357,4,"30/06/2022","MG",528,0.2688172,2084.84,2,"24/06/2022",2,"JAP",2.1,2.4,2.3,2,52.5,52.3,53.3,54.7,42,44.4,44.1,43.6,2,6,2,8,5,0,0,0,0,0,"C",5,13,2.285,1.985,10.5188916876574,4.03022670025189,2.51889168765743,0.0283446712018141,0.0274196767987856,0.0266422215830421,0.0239497532487689,1.32633340872905,2.54707482791477,"BR/R",2.54707482791477,1.32633340872905,-0.157631567064015,"4","2","BR/R"
"RG/G",6,"1",1,542,1,"28/06/2022","JAP",4619,0.2218152,619.24,1,"22/06/2022",947,"JAP",1.9,1.9,2.1,2.1,49.4,47.9,52.1,50.7,41.2,38.6,42.4,42,4,15,3,18,11,3,0,0,2,0,"C",14,31,2.0564,2.0564,24.3217272904104,8.7531608636452,6.32172729041043,0.0271682680120469,0.0330363217317654,0.0269780170879316,0.0277561818378145,1.76494763078053,-0.672589532923307,"RG/G",-0.672589532923308,1.76494763078053,-0.836092239726896,"1","1","RG/G"
"RR/R",2,"1",1,28,2,"30/06/2022","JAP",11,0.3512414,1891.12,2,"24/06/2022",3,"JAP",2.4,2,2.1,2.1,52.9,52.4,54.4,51.4,41.7,43.2,42.2,41.1,0,0,0,0,7,0,0,0,2,1,"C",7,9,2.0774,2.0774,4.33233850004814,0,4.33233850004814,0.0330981009923183,0.0248072575318803,0.0276428472808668,0.0299222785594746,-1.34773942679333,2.28842352921427,"RR/R",2.28842352921427,-1.34773942679333,1.03213861666646,"2","2","RR/R"
"BB/R",3,"1",2,225,3,"04/07/2022","MG",1006,0.2305764,496.23,1,"01/07/2022",13,"JAP",1.9,1.9,2.4,2.3,51.1,50.9,53.3,52.5,41.9,40.9,43.6,44.6,4,8,6,14,3,0,2,0,0,0,"C",3,17,2.391,2.291,15.3094718463553,6.11086861632475,1.3094718463553,0.0258292343131481,0.0277704985779385,0.0288482922004063,0.0258238216153976,0.841386850732102,-1.25993082589494,"BB/R",-1.25993082589494,0.841386850732101,-0.709626777718172,"3","1","BB/R"
"BG/B",5,"1",2,93,4,"05/07/2022","MG",4562,0.1885246,780.75,2,"02/07/2022",598,"JAP",2.7,2.5,3.1,2.7,56.1,57.5,58,56.8,43.2,45.6,46.7,47,0,1,2,3,7,3,0,0,0,1,"C",10,10,3.07,2.67,5.62172284644195,1.12359550561798,2.62172284644195,0.0334897976680384,0.0263660748516413,0.0301430874688676,0.0257168450150737,-0.0867281590528477,-0.0579074221326738,"BG/B",-0.0579074221326739,-0.086728159052848,-1.31663270331038,"4","2","BG/B"
"BR/B",4,"1",2,217,1,"05/07/2022","JAP",4656,0.2879929,1142.89,2,"02/07/2022",596,"JAP",2.6,2.8,2.5,2.3,52.1,54.8,54.6,54.9,41.6,44.8,44.9,44.2,0,8,2,10,12,6,0,0,0,1,"C",18,22,2.446,2.246,15.3428317008014,4.45235975066785,5.34283170080142,0.0361154770710059,0.0311403858418367,0.0270219962695283,0.026010155216933,0.803355658550215,0.952745528267142,"BR/B",0.952745528267142,0.803355658550214,0.119164278235793,"1","2","BR/B"
"BR/R",1,"1",2,176,1,"06/07/2022","JAP",4675,0.273183,1069.25,2,"03/07/2022",609,"JAP",2.1,2.4,2.3,2,52.5,52.3,53.3,54.7,42,44.4,44.1,43.6,2,6,2,8,5,0,0,0,0,0,"C",5,13,2.285,1.985,10.5188916876574,4.03022670025189,2.51889168765743,0.0283446712018141,0.0274196767987856,0.0266422215830421,0.0239497532487689,0.583367564271736,0.776101131083752,"BR/R",0.776101131083752,0.583367564271736,-0.0946124699040728,"1","2","BR/R"
