"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","adj_mass3","adj_mass4","bs_mod","dens_tot","dens_bs2","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"BB/R",3,"1",1,117,4,"28/06/2022","MG",516,0.4427516,1249.99,2,"22/06/2022",565,"JAP",1.9,1.9,2.4,2.3,51.1,50.9,53.3,52.5,41.9,40.9,43.6,44.6,4,0,0,0,0,0,0,0,0,0,"C",0,2.4,2.3,0,0,0,0,0.0258292343131481,0.0277704985779385,0.0289568805022899,0.0259252683175096,0.22850728275401,1.2261224943878,"BB/R",1.2261224943878,0.22850728275401,2.24308800725419,"4","2","BB/R"
"BG/B",5,"1",1,583,4,"29/06/2022","MG",521,0.2995614,1155.1,4,"23/06/2022",4504,"MG",2.7,2.5,3.1,2.7,56.1,57.5,58,56.8,43.2,45.6,46.7,47,0,0,0,0,0,0,0,0,0,1,"C",0,3.1,2.7,0,0,0,0,0.0334897976680384,0.0263660748516413,0.0304376453268695,0.0260057983298498,1.84494387527589,1.01229186513198,"BG/B",1.01229186513198,1.84494387527589,0.208016101977462,"4","4","BG/B"
"BR/B",4,"1",1,27,2,"29/06/2022","JAP",583,0.2404372,1529.6,1,"23/06/2022",4588,"JAP",2.6,2.8,2.5,2.3,52.1,54.8,54.6,54.9,41.6,44.8,44.9,44.2,0,0,0,0,0,0,0,0,0,1,"C",0,2.5,2.3,0,0,0,0,0.0361154770710059,0.0311403858418367,0.0276185571029521,0.0266355106851941,-1.24734660118957,1.77288487458478,"BR/B",1.77288487458478,-1.24734660118957,-0.63227882282858,"2","1","BR/B"
"BR/R",1,"1",1,357,4,"30/06/2022","MG",528,0.2688172,2084.84,2,"24/06/2022",2,"JAP",2.1,2.4,2.3,2,52.5,52.3,53.3,54.7,42,44.4,44.1,43.6,2,0,0,0,0,0,0,0,0,0,"C",0,2.3,2,0,0,0,0,0.0283446712018141,0.0274196767987856,0.0268171158166288,0.0241307337519083,1.35130934490349,2.61166218389914,"BR/R",2.61166218389914,1.35130934490349,-0.22893180137213,"4","2","BR/R"
"RG/G",6,"1",1,542,1,"28/06/2022","JAP",4619,0.2218152,619.24,1,"22/06/2022",947,"JAP",1.9,1.9,2.1,2.1,49.4,47.9,52.1,50.7,41.2,38.6,42.4,42,4,0,0,0,0,0,0,0,0,0,"C",0,2.1,2.1,0,0,0,0,0.0271682680120469,0.0330363217317654,0.0275500077244974,0.0283446712018141,1.77154941757388,-0.676306786083196,"RG/G",-0.676306786083196,1.77154941757388,-0.896941551283902,"1","1","RG/G"
"RR/R",2,"1",1,28,2,"30/06/2022","JAP",11,0.3512414,1891.12,2,"24/06/2022",3,"JAP",2.4,2,2.1,2.1,52.9,52.4,54.4,51.4,41.7,43.2,42.2,41.1,0,0,0,0,0,0,0,0,0,1,"C",0,2.1,2.1,0,0,0,0,0.0330981009923183,0.0248072575318803,0.0279435733560317,0.0302478025295546,-1.21074292387571,2.34752364370934,"RR/R",2.34752364370934,-1.21074292387571,0.942511312297032,"2","2","RR/R"
"BB/R",3,"1",2,225,3,"04/07/2022","MG",1006,0.2305764,496.23,1,"01/07/2022",13,"JAP",1.9,1.9,2.4,2.3,51.1,50.9,53.3,52.5,41.9,40.9,43.6,44.6,4,0,0,0,0,0,0,0,0,0,"C",0,2.4,2.3,0,0,0,0,0.0258292343131481,0.0277704985779385,0.0289568805022899,0.0259252683175096,0.886677861180265,-1.27610842055461,"BB/R",-1.27610842055461,0.886677861180266,-0.772424147323921,"3","1","BB/R"
"BG/B",5,"1",2,93,4,"05/07/2022","MG",4562,0.1885246,780.75,2,"02/07/2022",598,"JAP",2.7,2.5,3.1,2.7,56.1,57.5,58,56.8,43.2,45.6,46.7,47,0,0,0,0,0,0,0,0,0,1,"C",0,3.1,2.7,0,0,0,0,0.0334897976680384,0.0263660748516413,0.0304376453268695,0.0260057983298498,-0.00255714204022276,-0.0485843031853934,"BG/B",-0.048584303185393,-0.00255714204022235,-1.37007983008933,"4","2","BG/B"
"BR/B",4,"1",2,217,1,"05/07/2022","JAP",4656,0.2879929,1142.89,2,"02/07/2022",596,"JAP",2.6,2.8,2.5,2.3,52.1,54.8,54.6,54.9,41.6,44.8,44.9,44.2,0,0,0,0,0,0,0,0,0,1,"C",0,2.5,2.3,0,0,0,0,0.0361154770710059,0.0311403858418367,0.0276185571029521,0.0266355106851941,0.850239847630441,0.983509470549057,"BR/B",0.983509470549057,0.850239847630441,0.0436003155884933,"1","2","BR/B"
"BR/R",1,"1",2,176,1,"06/07/2022","JAP",4675,0.273183,1069.25,2,"03/07/2022",609,"JAP",2.1,2.4,2.3,2,52.5,52.3,53.3,54.7,42,44.4,44.1,43.6,2,0,0,0,0,0,0,0,0,0,"C",0,2.3,2,0,0,0,0,0.0283446712018141,0.0274196767987856,0.0268171158166288,0.0241307337519083,0.639467355361925,0.803117593766895,"BR/R",0.803117593766896,0.639467355361925,-0.166883442447726,"1","2","BR/R"
"RG/G",6,"1",2,88,3,"04/07/2022","MG",1005,0.3030572,594.46,2,"01/07/2022",594,"JAP",1.9,1.9,2.1,2.1,49.4,47.9,52.1,50.7,41.2,38.6,42.4,42,4,0,0,0,0,0,0,0,0,0,"C",0,2.1,2.1,0,0,0,0,0.0271682680120469,0.0330363217317654,0.0275500077244974,0.0283446712018141,-0.0581784863378261,-0.786919643768854,"RG/G",-0.786919643768854,-0.0581784863378257,0.257699700201828,"3","2","RG/G"
"RR/R",2,"1",2,146,4,"06/07/2022","MG",4567,0.279701,914.09,1,"03/07/2022",8,"JAP",2.4,2,2.1,2.1,52.9,52.4,54.4,51.4,41.7,43.2,42.2,41.1,0,0,0,0,0,0,0,0,0,1,"C",0,2.1,2.1,0,0,0,0,0.0330981009923183,0.0248072575318803,0.0279435733560317,0.0302478025295546,0.451377111229362,0.378472360135188,"RR/R",0.378472360135188,0.451377111229363,-0.0742472237777771,"4","1","RR/R"
"BB/B",7,"2",1,62,4,"28/06/2022","MG",517,0.3416667,1473.15,2,"22/06/2022",564,"JAP",3.8,4.3,3.3,3.2,59.8,60.1,62.7,62.4,47.2,48.8,50.2,49.5,4,0,0,0,0,0,0,0,0,0,"C",0,3.3,3.2,0,0,0,0,0.0361374580653329,0.0370006189945414,0.0260857176048113,0.0263836198944861,-0.410653798218626,1.67103716956356,"BB/B",1.67103716956356,-0.410653798218625,0.806432146464084,"4","2","BB/B"
"BB/G",12,"2",1,255,3,"30/06/2022","MG",978,0.3524904,1008.07,4,"24/06/2022",4510,"MG",3.2,2.6,2.8,2.4,56.9,56.6,58.9,56.6,45.8,45.5,46.4,46.6,28,0,0,0,0,0,0,0,0,0,"C",0,2.8,2.4,0,0,0,0,0.0333083825790831,0.0276019114323667,0.0280287732174341,0.0237166580351207,1.01265333747867,0.643534459468121,"BB/G",0.643534459468121,1.01265333747867,0.96026256070433,"3","4","BB/G"
"RB/B",11,"2",1,597,4,"28/06/2022","MG",518,0.3126177,632.55,1,"22/06/2022",948,"JAP",2.8,3.2,2.6,2.5,56.1,55.2,58.1,57.7,45.2,44.9,45.2,46.4,6,0,0,0,0,0,0,0,0,1,"C",0,2.6,2.5,0,0,0,0,0.0303209445996492,0.0353517530917787,0.0281551628425314,0.025025690372709,1.86882781419834,-0.618707347396575,"RB/B",-0.618707347396575,1.86882781419834,0.393577050400361,"4","1","RB/B"
"RB/G",8,"2",1,169,4,"30/06/2022","MG",527,0.3649698,1561.4,3,"24/06/2022",959,"MG",2.6,2.4,2.7,2.4,54.1,54.2,56.6,55.9,44.3,44.6,44.6,46,2,0,0,0,0,0,0,0,0,0,"C",0,2.7,2.4,0,0,0,0,0.0299062644502613,0.0270524538965318,0.0304340106335982,0.0246568587161995,0.598618668819435,1.82861611945398,"RB/G",1.82861611945398,0.598618668819436,1.13762439366993,"4","3","RB/G"
"RB/R",10,"2",1,166,2,"29/06/2022","JAP",581,0.2738148,1146.72,2,"23/06/2022",573,"JAP",1.9,1.6,2,2,48.3,52.7,52.6,51,40.5,44,42.8,41.9,4,0,0,0,0,0,0,0,0,0,"C",0,2,2,0,0,0,0,0.0286014816320156,0.0187828700225394,0.0255093086528391,0.0271886676980506,0.580591496826851,0.992570821935613,"RB/R",0.992570821935613,0.580591496826851,-0.157904067953145,"2","2","RB/R"
"RR/B",9,"2",1,336,1,"29/06/2022","JAP",4630,0.3593615,1314.63,1,"23/06/2022",4587,"JAP",2.7,3.2,2.9,2.9,53.5,56,57.2,58,45.9,47.6,46.1,46.4,2,0,0,0,0,0,0,0,0,0,"C",0,2.9,2.9,0,0,0,0,0.0279206617643569,0.0296707907087699,0.0296002392760859,0.0290298008323425,1.29029125740195,1.36268315813159,"RR/B",1.36268315813159,1.29029125740195,1.05791716673426,"1","1","RR/B"
"BB/B",7,"2",2,325,4,"04/07/2022","MG",4554,0.2487179,1142.48,1,"01/07/2022",12,"JAP",3.8,4.3,3.3,3.2,59.8,60.1,62.7,62.4,47.2,48.8,50.2,49.5,4,0,0,0,0,0,0,0,0,0,"C",0,3.3,3.2,0,0,0,0,0.0361374580653329,0.0370006189945414,0.0260857176048113,0.0263836198944861,1.25678924724569,0.982537657680707,"BB/B",0.982537657680708,1.25678924724569,-0.514590461990862,"4","1","BB/B"
"BB/G",12,"2",2,186,2,"06/07/2022","JAP",634,0.3151184,556.79,2,"03/07/2022",607,"JAP",3.2,2.6,2.8,2.4,56.9,56.6,58.9,56.6,45.8,45.5,46.4,46.6,28,0,0,0,0,0,0,0,0,0,"C",0,2.8,2.4,0,0,0,0,0.0333083825790831,0.0276019114323667,0.0280287732174341,0.0237166580351207,0.695088699659529,-0.964230917351226,"BB/G",-0.964230917351226,0.69508869965953,0.429117920610233,"2","2","BB/G"
"RB/B",11,"2",2,165,1,"04/07/2022","JAP",3,0.2959927,642.03,2,"01/07/2022",593,"JAP",2.8,3.2,2.6,2.5,56.1,55.2,58.1,57.7,45.2,44.9,45.2,46.4,6,0,0,0,0,0,0,0,0,1,"C",0,2.6,2.5,0,0,0,0,0.0303209445996492,0.0353517530917787,0.0281551628425314,0.025025690372709,0.574509966565067,-0.578416671525973,"RB/B",-0.578416671525972,0.574509966565068,0.157296422080647,"1","2","RB/B"
"RB/G",8,"2",2,216,3,"06/07/2022","MG",1018,0.3518018,696.5,3,"03/07/2022",1002,"MG",2.6,2.4,2.7,2.4,54.1,54.2,56.6,55.9,44.3,44.6,44.6,46,2,0,0,0,0,0,0,0,0,0,"C",0,2.7,2.4,0,0,0,0,0.0299062644502613,0.0270524538965318,0.0304340106335982,0.0246568587161995,0.845590923909685,-0.357857829001202,"RB/G",-0.357857829001201,0.845590923909686,0.950475923672092,"3","3","RB/G"
"RB/R",10,"2",2,233,1,"05/07/2022","JAP",4658,0.1891626,433.99,4,"02/07/2022",4541,"MG",1.9,1.6,2,2,48.3,52.7,52.6,51,40.5,44,42.8,41.9,4,0,0,0,0,0,0,0,0,0,"C",0,2,2,0,0,0,0,0.0286014816320156,0.0187828700225394,0.0255093086528391,0.0271886676980506,0.921842667346827,-1.63909332273315,"RB/R",-1.63909332273315,0.921842667346828,-1.3610123389093,"1","4","RB/R"
"RR/B",9,"2",2,63,4,"05/07/2022","MG",4561,0.335401,722.61,3,"02/07/2022",989,"MG",2.7,3.2,2.9,2.9,53.5,56,57.2,58,45.9,47.6,46.1,46.4,2,0,0,0,0,0,0,0,0,0,"C",0,2.9,2.9,0,0,0,0,0.0279206617643569,0.0296707907087699,0.0296002392760859,0.0290298008323425,-0.394549611518907,-0.2581807895495,"RR/B",-0.2581807895495,-0.394549611518906,0.717381708397147,"4","3","RR/B"
"B/RB",16,"3",1,29,3,"29/06/2022","MG",972,0.2025206,1136,1,"23/06/2022",4589,"JAP",2.4,2,2.6,2.4,51.1,52.3,54.3,52.4,44,43.4,43.6,45,22,0,0,0,0,0,0,0,0,1,"C",0,2.6,2.4,0,0,0,0,0.0281743050338092,0.0244658780759603,0.0313699538774807,0.0263374485596708,-1.17542385451686,0.967131786495247,"B/RB",0.967131786495247,-1.17542385451686,-1.17116351887353,"3","1","B/RB"
"B/RR",18,"3",1,656,1,"30/06/2022","JAP",4649,0.2968468,1309.73,1,"24/06/2022",4595,"JAP",2.8,2.8,2.9,2.8,57.8,57.3,58.4,58.2,46.4,47.4,46.6,48.3,2,0,0,0,0,0,0,0,0,1,"C",0,2.9,2.8,0,0,0,0,0.0280287732174341,0.026291962629656,0.0286576284591042,0.0248494418908537,1.96368314968695,1.35256902930088,"B/RR",1.35256902930088,1.96368314968695,0.169435206119617,"1","1","B/RR"
"BG/R",17,"3",1,289,2,"28/06/2022","JAP",579,0.09981168,638.95,4,"22/06/2022",4498,"MG",2.3,3.3,2.3,2.2,53,54.4,54.3,55,43.2,44.4,43.7,44.9,0,0,0,0,0,0,0,0,0,1,"C",0,2.3,2.2,0,0,0,0,0.0285283461616623,0.0377020555983302,0.0275602736294207,0.0243043302505979,1.13862881377707,-0.59144127500523,"BG/R",-0.59144127500523,1.13862881377707,-2.63090055055108,"2","4","BG/R"
