"ID_fish","before_exp","trial","cage","treatment","exploration","dens_tot","dens_ces","dens_bs2","name","after_exp"
"B/BB",-0.714029788371908,1,"5","C",0.2346851,0,0,0,"z_exploration",NA
"B/BB",-0.873444242243241,2,"5","C",0.2234685,0,0,0,"z_exploration",NA
"B/BB",NA,3,"5","E",0.2397661,4.77453580901857,2.12201591511936,2.6525198938992,"z_exploration",-0.641816743409955
"B/BB",NA,4,"5","E",0.2879929,4.77453580901857,2.12201591511936,2.6525198938992,"z_exploration",0.0436003155884933
"B/BG",-0.0379047759776959,1,"6","C",0.2822581,0,0,0,"z_exploration",NA
"B/BG",0.899260232110413,2,"6","C",0.3481982,0,0,0,"z_exploration",NA
"B/BG",NA,3,"6","E",0.376163,6.3973063973064,2.02020202020202,4.37710437710438,"z_exploration",1.29670627811553
"B/BG",NA,4,"6","E",0.4804762,6.3973063973064,2.02020202020202,4.37710437710438,"z_exploration",2.77924392852396
"B/BR",-1.29867973261249,1,"5","C",0.1935484,0,0,0,"z_exploration",NA
"B/BR",-0.688427627538517,2,"5","C",0.2364865,0,0,0,"z_exploration",NA
"B/BR",NA,3,"5","E",0.3198937,6.12912013075456,2.72405339144647,3.40506673930809,"z_exploration",0.496986244484827
"B/BR",NA,4,"5","E",0.3424408,6.12912013075456,2.72405339144647,3.40506673930809,"z_exploration",0.817433941013395
"B/GB",-2.41695863898207,1,"7","C",0.1148649,0,0,0,"z_exploration",NA
"B/GB",0.424803045496978,2,"7","C",0.3148148,0,0,0,"z_exploration",NA
"B/GB",NA,3,"7","E",0.2038104,13.9630888780962,8.49927149101506,5.46381738708111,"z_exploration",-1.15283240582651
"B/GB",NA,4,"7","E",0.2942459,13.9630888780962,8.49927149101506,5.46381738708111,"z_exploration",0.132470256573948
"B/GG",-2.19842925906965,1,"C2","C",0.1302409,0,0,0,"z_exploration",NA
"B/GG",-3.61325904324521,2,"C2","C",0.03069171,0,0,0,"z_exploration",NA
"B/GG",NA,3,"C2","E",0.3004505,1.91021967526266,0,1.91021967526266,"z_exploration",0.220652318918158
"B/GG",NA,4,"C2","E",0.3510929,1.91021967526266,0,1.91021967526266,"z_exploration",0.940400775556853
"B/GR",-0.824194121261809,1,"C1","C",0.2269338,0,0,0,"z_exploration",NA
"B/GR",0.912588591402938,2,"C1","C",0.349136,0,0,0,"z_exploration",NA
"B/GR",NA,3,"C1","E",0.2907679,0.769230769230769,0,0.769230769230769,"z_exploration",0.0830396385110325
"B/GR",NA,4,"C1","E",0.4305274,0.769230769230769,0,0.769230769230769,"z_exploration",2.0693531707606
"B/OB",0.194728958553938,1,"9","C",0.2986265,0,0,0,"z_exploration",NA
"B/OB",0.0796329337526422,2,"9","C",0.2905282,0,0,0,"z_exploration",NA
"B/OB",NA,3,"9","E",0.1905184,1.43884892086331,0.479616306954436,0.959232613908873,"z_exploration",-1.34174320953331
"B/OB",NA,4,"9","E",0.2866637,1.43884892086331,0.479616306954436,0.959232613908873,"z_exploration",0.024709235217813
"B/OO",1.05741973383253,1,"10","C",0.3593265,0,0,0,"z_exploration",NA
"B/OO",0.524494283950259,2,"10","C",0.3218292,0,0,0,"z_exploration",NA
"B/OO",NA,3,"10","E",0.1924072,16.9445574081605,9.48895214856988,7.45560525959062,"z_exploration",-1.31489888768247
"B/OO",NA,4,"10","E",0.3190476,16.9445574081605,9.48895214856988,7.45560525959062,"z_exploration",0.484961159394823
"B/RB",-1.17116351887353,1,"3","C",0.2025206,0,0,0,"z_exploration",NA
"B/RB",-0.807801575294654,2,"3","C",0.2280872,0,0,0,"z_exploration",NA
"B/RB",NA,3,"3","E",0.2707133,6.32111251580278,3.37126000842815,2.94985250737463,"z_exploration",-0.201983729230354
"B/RB",NA,4,"3","E",0.331299,6.32111251580278,3.37126000842815,2.94985250737463,"z_exploration",0.659082572314893
"B/RG",-0.886889142958456,1,"5","C",0.2225225,0,0,0,"z_exploration",NA
"B/RG",0.541064484525173,2,"5","C",0.3229951,0,0,0,"z_exploration",NA
"B/RG",NA,3,"5","E",0.3610988,4.02058539723384,2.01029269861692,2.01029269861692,"z_exploration",1.08260831473906
"B/RG",NA,4,"5","E",0.3419204,4.02058539723384,2.01029269861692,2.01029269861692,"z_exploration",0.810037824383165
"B/RR",0.169435206119617,1,"3","C",0.2968468,0,0,0,"z_exploration",NA
"B/RR",-0.533804163129234,2,"3","C",0.247366,0,0,0,"z_exploration",NA
"B/RR",NA,3,"3","E",0.3278689,3.22812051649928,1.43472022955524,1.79340028694405,"z_exploration",0.610332726708911
"B/RR",NA,4,"3","E",0.2643369,3.22812051649928,1.43472022955524,1.79340028694405,"z_exploration",-0.292607476503607
"BB/B",0.806432146464084,1,"2","C",0.3416667,0,0,0,"z_exploration",NA
"BB/B",-0.514590461990862,2,"2","C",0.2487179,0,0,0,"z_exploration",NA
"BB/B",NA,3,"2","E",0.3380594,10.5095541401274,6.36942675159236,4.14012738853503,"z_exploration",0.755163869138508
"BB/B",NA,4,"2","E",0.3093137,10.5095541401274,6.36942675159236,4.14012738853503,"z_exploration",0.346619384477454
"BB/G",0.96026256070433,1,"2","C",0.3524904,0,0,0,"z_exploration",NA
"BB/G",0.429117920610233,2,"2","C",0.3151184,0,0,0,"z_exploration",NA
"BB/G",NA,3,"2","E",0.3635982,22.5781715941041,8.09406151486751,14.4841100792366,"z_exploration",1.11813070886973
"BB/G",NA,4,"2","E",0.2702703,22.5781715941041,8.09406151486751,14.4841100792366,"z_exploration",-0.208279808529339
"BB/O",-1.51806043340528,1,"9","C",0.1781125,0,0,0,"z_exploration",NA
"BB/O",-0.774662595381687,2,"9","C",0.2304189,0,0,0,"z_exploration",NA
"BB/O",NA,3,"9","E",0.2105263,29.8783137766189,26.0756192959583,3.80269448066058,"z_exploration",-1.05738355940651
