cage;lat;long;dens_tot;dens_ces;dens_bs
1;45.9896166666667;-73.9999833333333;12.57;3.74;4.08
2;45.9896833333333;-73.9998;32.62;6.46;10.72
3;45.9897;-73.9995833333333;16.95;4.95;5.4
4;45.9897333333333;-73.9989;26.73;9.23;9.75
5;45.9882833333333;-73.9987166666667;10.69;2.02;4.48
6;45.9888;-74.0014666666667;17.21;7.21;4.01
7;45.9885666666667;-73.9981166666667;12.88;2.88;4.93
8;45.9884666666667;-73.9983166666667;11.48;1.31;4.04
9;45.98835;-73.9989833333333;22.77;4.93;9.42
10;45.9890333333333;-74.00125;27.27;6.43;8.84
