"ID_fish","bold_E","se_b_E","exp_E","se_exp_E","act_E","se_act_E","bold_I","se_b_I","exp_I","se_exp_I","act_I","se_act_I","trial","cage","treatment","z_log_boldness","z_log_activity","z_exploration","dens_tot","BS_post_tot","ces_tot","change_bc","change_bs","name","body_condition","z_bc","z_change_bc","z_change_bs"
"B/BB",-0.425475699088268,0.351988850499891,0.35771762279459,0.293056084814487,-0.080461228303994,0.465530818439245,0.315518832124444,0.284468581895609,-0.392310461093133,0.339630277189253,0.261314507575646,0.375398055836172,4,5,"E",1.25678924724569,0.259045285667273,0.0436003155884933,11.1220159151194,9,4,-0.000579860526440303,2.77453580901857,"fulton4",0.0275512577996917,0.674152017319523,-0.3651151632963,-0.28915420095572
"B/BG",-0.998457441183012,0.475885033014918,0.629590566271025,0.38360780231625,0.118395166754265,0.530345388578871,-0.00824953449026365,0.32189698958997,0.436459525237514,0.378315100178464,0.597848740011431,0.401412021022913,4,6,"E",-2.47163656972478,1.40199465817834,2.77924392852396,19.020202020202,17,6,-0.0050785753583526,4.18544418544418,"fulton4",0.0278882603607423,0.812609729666044,-1.31935442078139,0.047365634561936
"B/BR",-0.42025533978028,0.350729137360234,0.571350797641438,0.311382969414059,-0.0906295153681388,0.464423628908737,0.371021272126276,0.282196250902844,-0.368150511726172,0.338673501666829,-0.15757916630935,0.372450195380935,4,5,"E",0.262342071949871,-0.44458868770123,0.817433941013395,11.7240533914465,9,4,0.0039596644495491,3.46245346408789,"fulton4",0.0243773321490195,-0.629857315369311,0.597780486744672,-0.125076972411584
"B/GB",-0.445324023846291,0.353998794231189,0.509621983104188,0.305617400585715,0.0792445105861563,0.490546123065753,0.448438558558195,0.288273562691972,-0.68550989837091,0.349426042769206,-0.562278617367257,0.407626193608198,4,7,"E",-0.232574775064468,-0.745996762378152,0.132470256573948,17.4992714910151,9,14,0.0043540446245493,5.46381738708111,"fulton4",0.0232137503871307,-1.10791560779597,0.681433943213941,0.35227412240783
"B/OB",-0.828367070857358,0.408130728950504,0.317053859922672,0.318016325921183,0.154548164504507,0.492628343310543,0.183286022218911,0.296382779990875,-0.235798189255407,0.350765013641862,0.336942135206999,0.384031546847197,4,9,"E",-1.90838876557546,0.871377468034408,0.024709235217813,4.47961630695444,4,1,0.004160645949699,0.865833648870382,"fulton4",0.0239825236072287,-0.792064650948024,0.640411425721028,-0.744404270852181
"B/OO",-0.446107542886476,0.34299969971814,0.224428818996072,0.329894013985805,-0.331821769235024,0.459000885109444,0.302213705012157,0.280482939845177,-0.118054176732551,0.343698772741853,0.245899858364218,0.372509703893388,4,10,"E",-0.246268730470389,-1.26298621419214,0.484961159394823,33.4889521485699,24,28,-0.0012494812570332,7.26382233852573,"fulton4",0.0295383228607159,1.49053893668126,-0.507150925204324,0.781598506834324
"B/RB",-0.0907178861074895,0.423466214902171,0.467477796383758,0.304150335586969,-0.70226848166299,0.493857092962236,0.130921822816718,0.301643226370333,-0.31383468452724,0.33795266599187,-0.0451955321903526,0.380043567604017,4,3,"E",0.684207618589593,-0.223619061395926,0.659082572314893,32.3712600084282,29,8,-0.0015752741874142,3.05415086388533,"fulton4",0.0260411522633745,0.0537242160930973,-0.576256084254494,-0.222462405907762
"B/RG",-0.397101079747634,0.361965947339243,0.528732132145502,0.301841043077498,-0.189232795035317,0.465024041724828,0.0664679952404725,0.286667421326308,-0.0280386998554528,0.334449811274354,0.186643736596159,0.371955163421016,4,5,"E",-0.668248230146872,-0.0156556460515959,0.810037824383165,7.01029269861692,5,5,0.000772777740464203,2.01029269861692,"fulton4",0.0286087926694961,1.10864087800747,-0.0782019928279663,-0.471436034492927
"B/RR",-0.314903862221958,0.360798965602051,0.388122472159953,0.286768030397166,-0.48150383757678,0.458360633419914,0.339959304531242,0.28115399776591,-0.196288133125881,0.33039839064595,0.0179321146862131,0.369203739614971,4,3,"E",-0.024438225453481,-1.63435440476715,-0.292607476503607,8.43472022955524,7,4,0.001549018346906,1.79647468743595,"fulton4",0.02474294428275,-0.479645342247673,0.0864493103989899,-0.522434386445179
"BB/B",-0.381725782126816,0.355361110033216,0.333563196641145,0.304018851066908,-0.819323235250958,0.497456207228178,0.0639489983674361,0.282724548252388,0.0925915622962954,0.345105150821834,0.513603105772327,0.397860222289127,4,2,"E",-1.65544325736797,-1.25203628326047,0.346619384477454,23.3694267515924,17,20,0.0111116919730769,4.36138115990613,"fulton4",0.0258889270214645,-0.00881761946609942,2.11482383991562,0.0893288709397669
