"ID_fish","trial","cage","treatment","exploration","log_boldness","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_ces","BS_pre","BS_post_tot","dens_bs2","name","body_condition","z_bc","z_ces","z_bs2","z_dens"
"B/BB",3,"5","E",0.2397661,-0.179589373424393,1.08105216826168,-0.179589373424393,1.08105216826168,-0.641816743409955,4.77453580901857,2.12201591511936,4,9,2.6525198938992,"fulton3",0.0303546896369057,1.48879036345883,-0.507275858695161,-0.409937514980975,-0.604097041067696
"B/BB",4,"5","E",0.2879929,1.25678924724569,0.259045285667272,1.25678924724569,0.259045285667273,0.0436003155884933,4.77453580901857,2.12201591511936,4,9,2.6525198938992,"fulton4",0.0275512577996917,0.349225163051089,-0.507275858695161,-0.409937514980975,-0.604097041067696
"B/BG",3,"6","E",0.376163,-0.274228589396566,1.44941733128753,-0.274228589396566,1.44941733128753,1.29670627811553,6.3973063973064,2.02020202020202,4,17,4.37710437710438,"fulton3",0.0305128626612969,1.55308601418476,-0.525759483712854,0.0535816839790016,-0.377145336795583
"B/BG",4,"6","E",0.4804762,-2.47163656972478,1.40199465817834,-2.47163656972478,1.40199465817834,2.77924392852396,6.3973063973064,2.02020202020202,4,17,4.37710437710438,"fulton4",0.0278882603607423,0.486213116859588,-0.525759483712854,0.0535816839790016,-0.377145336795583
"B/BR",3,"5","E",0.3198937,0.716504192595597,0.313308014896318,0.716504192595597,0.313308014896318,0.496986244484827,6.12912013075456,2.72405339144647,4,9,3.40506673930809,"fulton3",0.024142301782836,-1.03647917081633,-0.397980020754152,-0.207674352833362,-0.414652382274226
"B/BR",4,"5","E",0.3424408,0.26234207194987,-0.44458868770123,0.262342071949871,-0.44458868770123,0.817433941013395,6.12912013075456,2.72405339144647,4,9,3.40506673930809,"fulton4",0.0243773321490195,-0.940941828767748,-0.397980020754152,-0.207674352833362,-0.414652382274226
"B/GB",3,"7","E",0.2038104,0.138582315194883,-0.675388428167701,0.138582315194883,-0.675388428167701,-1.15283240582651,13.9630888780962,8.49927149101506,0,9,5.46381738708111,"fulton3",0.0245412816969878,-0.874298082696531,0.650471822036902,0.345659195280529,0.680963086268087
"B/GB",4,"7","E",0.2942459,-0.232574775064468,-0.745996762378152,-0.232574775064468,-0.745996762378152,0.132470256573948,13.9630888780962,8.49927149101506,0,9,5.46381738708111,"fulton4",0.0232137503871307,-1.4139254291093,0.650471822036902,0.345659195280529,0.680963086268087
"B/OB",3,"9","E",0.1905184,-0.851753089600784,0.835097949007327,-0.851753089600783,0.835097949007327,-1.34174320953331,1.43884892086331,0.479616306954436,2,4,0.959232613908873,"fulton3",0.0271019288535792,0.166577729384735,-0.805442415540599,-0.865044916951526,-1.07060772942305
"B/OB",4,"9","E",0.2866637,-1.90838876557546,0.871377468034408,-1.90838876557546,0.871377468034408,0.024709235217813,1.43884892086331,0.479616306954436,2,4,0.959232613908873,"fulton4",0.0239825236072287,-1.10142729842541,-0.805442415540599,-0.865044916951526,-1.07060772942305
"B/OO",3,"10","E",0.1924072,0.65647886223137,1.32410956831637,0.656478862231371,1.32410956831637,-1.31489888768247,16.9445574081605,9.48895214856988,2,24,7.45560525959062,"fulton3",0.0291596310541809,1.00301177050572,0.830141661564785,0.880995056268885,1.09793475744293
"B/OO",4,"10","E",0.3190476,-0.24626873047039,-1.26298621419214,-0.246268730470389,-1.26298621419214,0.484961159394823,16.9445574081605,9.48895214856988,2,24,7.45560525959062,"fulton4",0.0295383228607159,1.15694595883815,0.830141661564785,0.880995056268885,1.09793475744293
"B/RB",3,"3","E",0.2707133,0.845590923909685,-1.98115469760703,0.845590923909686,-1.98115469760703,-0.201983729230354,6.32111251580278,3.37126000842815,22,29,2.94985250737463,"fulton3",0.03104418897183,1.76906450365867,-0.280484030379053,-0.330022975470178,-0.387801390945911
"B/RB",4,"3","E",0.331299,0.684207618589592,-0.223619061395926,0.684207618589593,-0.223619061395926,0.659082572314893,6.32111251580278,3.37126000842815,22,29,2.94985250737463,"fulton4",0.0260411522633745,-0.264616662987498,-0.280484030379053,-0.330022975470178,-0.387801390945911
"B/RG",3,"5","E",0.3610988,1.40617252730487,0.94320804519237,1.40617252730487,0.94320804519237,1.08260831473906,4.02058539723384,2.01029269861692,0,5,2.01029269861692,"fulton3",0.0286087926694961,0.779101830587426,-0.527558454123597,-0.582549896691786,-0.709540368748254
"B/RG",4,"5","E",0.3419204,-0.668248230146872,-0.0156556460515963,-0.668248230146872,-0.0156556460515959,0.810037824383165,4.02058539723384,2.01029269861692,0,5,2.01029269861692,"fulton4",0.0286087926694961,0.779101830587426,-0.527558454123597,-0.582549896691786,-0.709540368748254
